specObjID,plateid,mjd,fiberid,ra,dec,primtarget,sectarget,targettype,spectrotype,subclass,z,z_err,z_warning,v_disp,v_disp_err,sn_median,e_bv_sfd,release,reliable,EW_Ha_6562,EW_Ha_6562_Err,sfr_fib_p50,bptclass,logMass,SFR,Metallicity
591196445642614784,525,52295,360,196.8788,2.327064,64,0,GALAXY,GALAXY,STARFORMING,0.01702645,5.706049E-06,0,45.54449,24.26123,12.54201,0.02519704,dr123,1,27.73675,1.723868,-2.238438,1,7.91,0,0.004
603629718582880256,536,52024,536,219.7665,2.947083,192,0,GALAXY,GALAXY,STARBURST,0.005210581,4.00661E-06,0,0,349.1486,4.458733,0.02948887,dr123,1,192.7757,37.9212,-3.017649,1,4.25,0,0.04
606879050203424768,539,52017,69,226.3698,1.292557,192,0,GALAXY,GALAXY,STARBURST,0.007684317,5.482455E-06,0,120.3935,40.34824,3.777904,0.06188041,dr123,1,192.3165,-9999,-2.521039,1,5.38,0,0.01
1115824577457448960,991,52707,210,140.0209,4.48047,66,0,QSO,GALAXY,STARFORMING,0.01467243,5.932462E-06,0,15.5427,23.55617,12.24045,0.04103086,dr123,1,37.99464,1.841136,-2.218199,1,7.89,0,0.01
368203118007052288,327,52294,123,173.6675,-3.571213,64,0,GALAXY,GALAXY,STARFORMING,0.01995892,8.557809E-06,0,52.90159,8.678909,24.15723,0.03978898,dr123,1,26.6356,0.7218726,-0.7315031,1,9.4,0.2,0.02
371603358991017984,330,52370,205,178.1336,-3.671451,64,0,GALAXY,GALAXY,STARBURST,0.005495979,4.571007E-06,0,0,110.6743,5.758141,0.02679894,dr123,1,10.97304,-9999,-2.428919,1,6.98,0,0.004
376152032270116864,334,51993,369,186.5493,-1.30468,64,0,GALAXY,GALAXY,STARFORMING,0.006750463,6.687108E-06,0,16.47319,53.2005,8.954965,0.02282292,dr123,1,26.36147,-9999,-2.360327,1,8.13,0,0.01
377236975486265344,335,52000,220,188.9705,-3.608416,64,0,GALAXY,GALAXY,STARBURST,0.008901186,7.173377E-06,0,230.7576,76.73618,2.652959,0.02906892,dr123,1,68.22594,-9999,-3.00799,1,7.67,0,0.04
377307619108349952,335,52000,477,189.5135,-2.264285,64,0,GALAXY,GALAXY,STARFORMING,0.008643118,5.019235E-06,0,38.01076,11.05441,23.12315,0.03318219,dr123,1,30.07259,0.9307309,-2.983732,1,8.82,0.2,0.01
380644356886915072,338,51694,328,193.9056,-1.329858,68,0,QSO,GALAXY,STARFORMING,0.00285163,4.990063E-06,0,26.16311,18.60717,21.54114,0.01956846,dr123,1,26.43473,-9999,-3.282808,1,7.58,0,0.004
662070960706316288,588,52029,152,223.4269,3.582561,96,0,GALAXY,GALAXY,STARFORMING,0.005226819,1.348188E-05,0,13.84616,14.142,18.44472,0.04165046,extra,1,10.24629,0.4528034,-2.876666,1,8.1,0,0.01
563125908735551488,500,51994,640,150.4741,2.41385,64,0,GALAXY,GALAXY,STARFORMING,0.006784019,4.779071E-06,0,0,226.2742,7.920141,0.0185421,dr123,1,49.04119,-9999,-3.153833,1,6.79,0,0.004
